1516527192896,on_foot:97;;walking:97;;unknown:3,on_foot:97;;walking:97;;unknown:3,,,,,
1516527198060,on_foot:97;;walking:97;;unknown:3,on_foot:97;;walking:97;;unknown:3,,,,,
1516527201577,,on_foot:97;;walking:97;;unknown:3,on_foot,STATE_CONFIRMED,0,0,0
1516527203916,on_foot:97;;walking:97;;unknown:3,on_foot:97;;walking:97;;unknown:3,,,,,
1516527209064,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516527211577,,on_foot:97;;walking:97;;unknown:3,on_foot,STATE_CONFIRMED,0,0,0
1516527214932,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516527220021,on_foot:97;;walking:97;;unknown:3,on_foot:97;;walking:97;;unknown:3,,,,,
1516527221584,,on_foot:99;;walking:99;;unknown:1,on_foot,STATE_CONFIRMED,0,0,0
1516527225935,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516527231577,,on_foot:97;;walking:97;;unknown:3,on_foot,STATE_CONFIRMED,0,0,0
1516527233213,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516527239333,on_foot:97;;walking:97;;unknown:3,on_foot:97;;walking:97;;unknown:3,,,,,
1516527241577,,on_foot:99;;walking:99;;unknown:1,on_foot,STATE_CONFIRMED,0,0,0
1516527247182,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516527250908,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516527251583,,on_foot:97;;walking:97;;unknown:3,on_foot,STATE_CONFIRMED,0,0,0
1516527258116,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516527261575,,on_foot:98;;walking:98;;unknown:2,on_foot,STATE_CONFIRMED,0,0,0
1516527263170,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516527269136,on_foot:97;;walking:97;;unknown:2;;still:1,on_foot:97;;walking:97;;unknown:2;;still:1,,,,,
1516527271576,,on_foot:99;;walking:99;;unknown:1,on_foot,STATE_CONFIRMED,0,0,0
1516527274222,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516527280235,on_foot:97;;walking:97;;unknown:2;;still:1,on_foot:97;;walking:97;;unknown:2;;still:1,,,,,
1516527281667,,on_foot:97;;walking:97;;unknown:2;;still:1,on_foot,STATE_CONFIRMED,0,0,0
1516527285331,on_foot:97;;walking:97;;unknown:3,on_foot:97;;walking:97;;unknown:3,,,,,
1516527291245,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516527291664,,on_foot:97;;walking:97;;unknown:2;;still:1,on_foot,STATE_CONFIRMED,0,0,0
1516527296416,on_foot:77;;walking:77;;in_vehicle:7;;still:6;;on_bicycle:3;;unknown:3,on_foot:77;;walking:77;;in_vehicle:7;;still:6;;on_bicycle:3;;unknown:3,,,,,
1516527301670,,on_foot:98;;walking:98;;unknown:2,on_foot,STATE_CONFIRMED,0,0,0
1516527311662,,on_foot:77;;walking:77;;in_vehicle:7;;still:6;;on_bicycle:3;;unknown:3,on_foot,STATE_CONFIRMED,0,0,0
